Magnetic Sensor Monitoring Program V1.0
회 사 명 : (주)래도
작성일자 : 2025년 06월 24일 16:46:40


날짜 	시간 	X축 	Y축 	Z축 	방위 
2025-06-24	16:46:49[794]	83	-55	28	326.469530332867
2025-06-24	16:46:49[794]	83	-57	27	325.520784313874
2025-06-24	16:46:49[794]	88	-61	28	325.271003720479
2025-06-24	16:46:49[794]	88	-57	25	327.067768958653
2025-06-24	16:46:49[794]	86	-54	25	327.875001559612
2025-06-24	16:46:49[794]	84	-62	19	323.569141879838
2025-06-24	16:46:49[794]	87	-53	19	328.650419134757
2025-06-24	16:46:49[794]	83	-62	13	323.240711829708
2025-06-24	16:46:49[815]	81	-47	12	329.875682001639
2025-06-24	16:46:49[845]	80	-53	13	326.475526751423
2025-06-24	16:46:49[855]	80	-51	8	327.482489384954
2025-06-24	16:46:49[885]	75	-54	3	324.246112745563
2025-06-24	16:46:49[925]	74	-50	15	325.954062643398
2025-06-24	16:46:49[955]	74	-52	14	324.904183212974
2025-06-24	16:46:49[965]	67	-54	19	321.132222497679
2025-06-24	16:46:50[005]	67	-53	22	321.654425046007
2025-06-24	16:46:50[029]	69	-59	23	319.467159061389
2025-06-24	16:46:50[062]	66	-59	29	318.205215931014
2025-06-24	16:46:50[092]	71	-56	32	321.736011214119
2025-06-24	16:46:50[112]	79	-54	33	325.64566334496
2025-06-24	16:46:50[142]	78	-53	29	325.804394597539
2025-06-24	16:46:50[176]	69	-56	32	320.937416099482
2025-06-24	16:46:50[213]	74	-57	33	322.394008642598
2025-06-24	16:46:50[243]	77	-56	29	323.972626614896
2025-06-24	16:46:50[253]	79	-64	34	320.988148375775
2025-06-24	16:46:50[293]	72	-59	32	320.667285678239
2025-06-24	16:46:50[323]	73	-55	33	323.004728857293
2025-06-24	16:46:50[353]	72	-52	30	324.162347045722
2025-06-24	16:46:50[383]	75	-56	37	323.252529047136
2025-06-24	16:46:50[404]	68	-53	32	322.066729716401
2025-06-24	16:46:50[433]	70	-53	28	322.869075551791
2025-06-24	16:46:50[463]	74	-53	33	324.389147561331
2025-06-24	16:46:50[501]	69	-51	30	323.530765609948
2025-06-24	16:46:50[535]	63	-56	30	318.36646066343
2025-06-24	16:46:50[545]	64	-54	28	319.844000375081
2025-06-24	16:46:50[576]	65	-46	22	324.71325102494
2025-06-24	16:46:50[614]	74	-52	20	324.904183212974
2025-06-24	16:46:50[645]	68	-50	16	323.67317404788
2025-06-24	16:46:50[677]	72	-50	12	325.222168633636
2025-06-24	16:46:50[687]	72	-52	9	324.162347045722
2025-06-24	16:46:50[724]	75	-46	7	328.477822753241
2025-06-24	16:46:50[755]	85	-47	4	331.059987307161
2025-06-24	16:46:50[783]	83	-51	14	328.431028870682
2025-06-24	16:46:50[817]	86	-52	8	328.840695491656
2025-06-24	16:46:50[834]	85	-55	14	327.094757077012
2025-06-24	16:46:50[864]	88	-50	13	330.395549253995
2025-06-24	16:46:51[254]	93	-56	17	328.945728883647
2025-06-24	16:46:51[254]	79	-56	24	324.668668661084
2025-06-24	16:46:51[254]	84	-58	25	325.375844920051
2025-06-24	16:46:51[254]	83	-61	18	323.686354581237
2025-06-24	16:46:51[254]	84	-54	22	327.264773727892
2025-06-24	16:46:51[254]	90	-55	23	328.570434385161
2025-06-24	16:46:51[254]	81	-52	27	327.300538878998
2025-06-24	16:46:51[254]	82	-60	26	323.806792694435
2025-06-24	16:46:51[254]	79	-58	34	323.714732874861
2025-06-24	16:46:51[254]	85	-51	25	329.036243467926
2025-06-24	16:46:51[254]	79	-50	21	327.66981426495
2025-06-24	16:46:51[254]	77	-53	26	325.459909092929
2025-06-24	16:46:51[254]	89	-59	26	326.458752345877
2025-06-24	16:46:51[284]	90	-57	23	327.652556500558
2025-06-24	16:46:51[294]	86	-57	29	326.463953015693
2025-06-24	16:46:51[324]	84	-60	28	324.462322208026
2025-06-24	16:46:51[360]	87	-56	24	327.23150092123
2025-06-24	16:46:51[394]	93	-62	24	326.30993247402
2025-06-24	16:46:51[406]	84	-61	12	324.013204355643
2025-06-24	16:46:51[440]	85	-50	9	329.53445508054
2025-06-24	16:46:51[474]	83	-65	10	321.93434890127
2025-06-24	16:46:51[506]	88	-54	3	328.465208094812
2025-06-24	16:46:51[534]	80	-57	2	324.5301278326
2025-06-24	16:46:51[554]	74	-52	-1	324.904183212974
2025-06-24	16:46:51[584]	67	-52	0	322.184267392427
2025-06-24	16:46:51[617]	74	-51	5	325.425808525885
2025-06-24	16:46:51[651]	60	-49	14	320.762632886598
2025-06-24	16:46:51[661]	67	-50	17	323.267173335511
2025-06-24	16:46:51[701]	67	-56	22	320.110417561031
2025-06-24	16:46:51[728]	61	-52	25	319.553767979159
2025-06-24	16:46:51[761]	65	-52	25	321.34019174591
2025-06-24	16:46:51[794]	66	-53	32	321.234480095541
2025-06-24	16:46:51[814]	65	-60	34	317.290610042639
2025-06-24	16:46:51[837]	75	-54	29	324.246112745563
2025-06-24	16:46:51[870]	70	-54	33	322.352379359892
2025-06-24	16:46:51[904]	73	-49	32	326.129189289611
2025-06-24	16:46:51[937]	68	-54	32	321.546290783294
2025-06-24	16:46:51[957]	72	-55	31	322.624192504452
2025-06-24	16:46:51[987]	68	-53	35	322.066729716401
2025-06-24	16:46:52[017]	64	-53	31	320.370994695536
2025-06-24	16:46:52[048]	66	-58	31	318.691385986451
2025-06-24	16:46:52[078]	62	-54	31	318.945186229038
2025-06-24	16:46:52[098]	58	-53	31	317.579147500283
2025-06-24	16:46:52[147]	61	-42	26	325.451632943989
2025-06-24	16:46:52[160]	62	-45	21	324.027612950715
2025-06-24	16:46:52[190]	58	-46	12	321.581944655178
2025-06-24	16:46:52[309]	62	-48	3	322.253194612725
2025-06-24	16:46:52[309]	63	-39	3	328.240519915187
2025-06-24	16:46:52[309]	65	-38	-3	329.688786773318
2025-06-24	16:46:52[309]	78	-46	-10	329.470294100066
2025-06-24	16:46:52[335]	79	-51	-3	327.154941697222
2025-06-24	16:46:52[360]	85	-53	3	328.055247223797
2025-06-24	16:46:52[398]	99	-53	7	331.837472625676
2025-06-24	16:46:52[430]	94	-49	10	332.468023251278
2025-06-24	16:46:52[442]	92	-54	14	329.588918732875
2025-06-24	16:46:52[473]	94	-53	21	330.584401166904
2025-06-24	16:46:52[508]	86	-56	16	326.929322177238
2025-06-24	16:46:52[540]	83	-59	25	324.59313426273
2025-06-24	16:46:52[573]	92	-59	23	327.327770711317
2025-06-24	16:46:52[583]	85	-54	21	327.572445004228
2025-06-24	16:46:52[629]	87	-53	26	328.650419134757
2025-06-24	16:46:52[663]	89	-56	26	327.821343793399
2025-06-24	16:46:52[676]	84	-57	24	325.840305454331
2025-06-24	16:46:52[706]	89	-57	20	327.362492415714
2025-06-24	16:46:52[740]	86	-58	21	326.00354085175
2025-06-24	16:46:52[770]	85	-52	29	328.543176642445
2025-06-24	16:46:52[796]	84	-56	27	326.30993247402
2025-06-24	16:46:52[820]	93	-57	23	328.495733280796
2025-06-24	16:46:52[847]	89	-59	20	326.458752345877
2025-06-24	16:46:52[876]	93	-61	12	326.738571206722
2025-06-24	16:46:52[910]	96	-62	13	327.144278049567
2025-06-24	16:46:52[942]	93	-62	9	326.30993247402
2025-06-24	16:46:52[962]	94	-54	1	330.124007308311
2025-06-24	16:46:52[996]	88	-52	-3	329.420773127511
