Magnetic Sensor Monitoring Program V1.0
회 사 명 : (주)래도
작성일자 : 2025년 11월 03일 13:31:49


날짜 	시간 	X축 	Y축 	Z축 	방위 	분당교통량(min/count) 	차량속도(km/h) 	rel 	abs_rel 	threshold_t 	state	X축 	Y축 	Z축 	방위 	분당교통량(min / count) 	차량속도(km / h) 	rel 	abs_rel 	threshold_t 	state	최종 분당교통량(min / count) 	최종 차량속도(km / h)
2025-11-03	14:19:21[709]	0	0	0	0	0	0	0	0	0	0	117	183	-293	57.4074185274007	0	0	-453	453	102	1	0	0.0
2025-11-03	14:19:21[714]	0	0	0	0	0	0	0	0	0	0	117	181	-286	57.1210154525858	0	0	-446	446	102	1	0	0.0
2025-11-03	14:19:21[892]	0	0	0	0	0	0	0	0	0	0	119	191	-284	58.0755810990899	0	0	-444	444	102	1	0	0.0
2025-11-03	14:19:22[098]	0	0	0	0	0	0	0	0	0	0	109	184	-285	59.3578683628353	0	0	-445	445	102	1	0	0.0
2025-11-03	14:19:22[289]	0	0	0	0	0	0	0	0	0	0	116	197	-285	59.509041119238	0	0	-445	445	102	1	0	0.0
2025-11-03	14:19:22[484]	0	0	0	0	0	0	0	0	0	0	110	189	-291	59.8001419288565	0	0	-451	451	102	1	0	0.0
2025-11-03	14:19:22[690]	0	0	0	0	0	0	0	0	0	0	113	189	-287	59.1254891582314	0	0	-447	447	102	1	0	0.0
2025-11-03	14:19:22[883]	0	0	0	0	0	0	0	0	0	0	114	194	-289	59.5602756193569	0	0	-449	449	102	1	0	0.0
2025-11-03	14:19:23[074]	0	0	0	0	0	0	0	0	0	0	113	184	-284	58.4446480241007	0	0	-444	444	102	1	0	0.0
2025-11-03	14:19:23[282]	0	0	0	0	0	0	0	0	0	0	118	185	-288	57.4687282699551	0	0	-448	448	102	1	0	0.0
2025-11-03	14:19:23[474]	0	0	0	0	0	0	0	0	0	0	117	189	-280	58.2405199151872	0	0	-440	440	102	1	0	0.0
2025-11-03	14:19:23[666]	0	0	0	0	0	0	0	0	0	0	119	186	-292	57.389499037301	0	0	-452	452	102	1	0	0.0
2025-11-03	14:19:23[863]	0	0	0	0	0	0	0	0	0	0	115	191	-284	58.9480961843736	0	0	-444	444	102	1	0	0.0
2025-11-03	14:19:24[066]	0	0	0	0	0	0	0	0	0	0	115	193	-291	59.2111918692975	0	0	-451	451	102	1	0	0.0
2025-11-03	14:19:24[258]	0	0	0	0	0	0	0	0	0	0	116	187	-278	58.1878099213056	0	0	-438	438	102	1	0	0.0
2025-11-03	14:19:24[450]	0	0	0	0	0	0	0	0	0	0	111	187	-289	59.3073571204103	0	0	-449	449	102	1	0	0.0
2025-11-03	14:19:24[658]	0	0	0	0	0	0	0	0	0	0	116	186	-294	58.0500285536668	0	0	-454	454	102	1	0	0.0
2025-11-03	14:19:24[850]	0	0	0	0	0	0	0	0	0	0	115	192	-291	59.0801482712204	0	0	-451	451	102	1	0	0.0
2025-11-03	14:19:25[042]	0	0	0	0	0	0	0	0	0	0	115	191	-285	58.9480961843736	0	0	-445	445	102	1	0	0.0
