Wind Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2020년 06월 16일 13:33:07


날짜/시간 	 Wind_Driction 	 Wind_Speed
2020-06-16 16:56:33:597	285	0.3434559
2020-06-16 16:56:34:609	289	0.31771
2020-06-16 16:56:35:599	288	0.3353642
2020-06-16 16:56:36:590	285	0.4167602
2020-06-16 16:56:37:597	293	0.4680843
2020-06-16 16:56:38:591	300	0.5060139
2020-06-16 16:56:39:583	298	0.4483051
2020-06-16 16:56:40:589	285	0.4427747
2020-06-16 16:56:41:597	271	0.4303184
2020-06-16 16:56:42:605	255	0.2788277
2020-06-16 16:56:43:597	259	0.2650495
2020-06-16 16:56:44:589	260	0.3228108
2020-06-16 16:56:45:596	254	0.3427575
2020-06-16 16:56:46:594	248	0.3661552
2020-06-16 16:56:47:596	245	0.3482314
2020-06-16 16:56:48:588	237	0.2840015
2020-06-16 16:56:49:611	231	0.2846271
2020-06-16 16:56:50:588	248	0.3060758
2020-06-16 16:56:51:595	272	0.2896887
2020-06-16 16:56:52:593	280	0.327781
2020-06-16 16:56:53:605	285	0.3623926
2020-06-16 16:56:54:606	289	0.3450929
2020-06-16 16:56:55:600	293	0.2716003
2020-06-16 16:56:56:587	300	0.2534874
2020-06-16 16:56:57:594	286	0.2891081
2020-06-16 16:56:58:602	268	0.2487813
2020-06-16 16:56:59:595	268	0.222167
2020-06-16 16:57:00:604	258	0.2520108
2020-06-16 16:57:01:593	267	0.3151496
2020-06-16 16:57:02:587	276	0.2626181
2020-06-16 16:57:03:593	276	0
2020-06-16 16:57:04:608	276	0
2020-06-16 16:57:05:593	276	0
2020-06-16 16:57:06:600	276	0
2020-06-16 16:57:07:592	276	0
2020-06-16 16:57:08:584	276	0
2020-06-16 16:57:09:593	276	0
2020-06-16 16:57:10:599	276	0
2020-06-16 16:57:11:592	276	0
2020-06-16 16:57:12:598	276	0
2020-06-16 16:57:13:592	276	0
2020-06-16 16:57:14:599	276	0
2020-06-16 16:57:15:606	276	0
2020-06-16 16:57:16:603	271	0.4956481
2020-06-16 16:57:17:591	269	0.4988636
2020-06-16 16:57:18:602	279	0.4109347
2020-06-16 16:57:19:591	292	0.2233859
2020-06-16 16:57:20:598	292	0
2020-06-16 16:57:21:591	292	0
2020-06-16 16:57:22:581	292	0
2020-06-16 16:57:23:589	292	0
2020-06-16 16:57:24:596	292	0
2020-06-16 16:57:25:606	253	0.28201
2020-06-16 16:57:26:597	263	0.3686063
2020-06-16 16:57:27:594	270	0.3249062
2020-06-16 16:57:28:585	284	0.2679429
2020-06-16 16:57:29:595	296	0.2648933
2020-06-16 16:57:30:591	293	0.301912
2020-06-16 16:57:31:594	283	0.3354871
2020-06-16 16:57:32:607	286	0.3175174
2020-06-16 16:57:33:595	288	0.309572
2020-06-16 16:57:34:596	282	0.2720698
2020-06-16 16:57:35:590	273	0.216574
2020-06-16 16:57:36:598	273	0.2175653
2020-06-16 16:57:37:589	273	0.220753
2020-06-16 16:57:38:596	273	0
2020-06-16 16:57:39:602	273	0
2020-06-16 16:57:40:601	270	0.4065526
2020-06-16 16:57:41:605	257	0.440311
2020-06-16 16:57:42:599	258	0.4279504
2020-06-16 16:57:43:589	263	0.5461575
2020-06-16 16:57:44:594	243	0.6416993
2020-06-16 16:57:45:585	230	0.5799128
2020-06-16 16:57:46:594	220	0.3423929
2020-06-16 16:57:47:618	214	0.2186899
2020-06-16 16:57:48:595	228	0.2458973
2020-06-16 16:57:49:601	228	0.2127068
2020-06-16 16:57:50:602	228	0
2020-06-16 16:57:51:585	228	0
2020-06-16 16:57:52:594	228	0
2020-06-16 16:57:53:586	228	0
2020-06-16 16:57:54:609	228	0
2020-06-16 16:57:55:601	228	0
2020-06-16 16:57:56:591	228	0
2020-06-16 16:57:57:602	228	0
2020-06-16 16:57:58:594	228	0
2020-06-16 16:57:59:583	228	0
2020-06-16 16:58:00:590	228	0
2020-06-16 16:58:01:598	228	0
2020-06-16 16:58:02:592	228	0.2416428
2020-06-16 16:58:03:600	228	0.2281854
2020-06-16 16:58:04:594	280	0.334651
2020-06-16 16:58:05:599	278	0.3872941
2020-06-16 16:58:06:589	273	0.4239998
2020-06-16 16:58:07:598	272	0.3956791
2020-06-16 16:58:08:590	273	0.2687943
2020-06-16 16:58:09:599	273	0.2015954
2020-06-16 16:58:10:592	275	0.299244
2020-06-16 16:58:11:599	272	0.3598437
2020-06-16 16:58:12:592	270	0.3445178
2020-06-16 16:58:13:585	278	0.3748164
2020-06-16 16:58:14:589	272	0.2960602
2020-06-16 16:58:15:598	259	0.335569
2020-06-16 16:58:16:588	267	0.3359061
2020-06-16 16:58:17:596	279	0.3044961
2020-06-16 16:58:18:597	277	0.3604549
